,Country,2005,2006,2007,2008,2009,2010
0,Afghanistan,77042718.0,78685964.0,80954308.0,85152637.0,91912951.0,100365175.0
1,Africa,28442492860.0,29526291008.0,30652623962.0,31830766884.0,33019042498.0,34212826270.0
2,Albania,216604688.0,220499520.0,224423664.0,228794816.0,233169632.0,237764288.0
3,Algeria,2577186565.0,2677387726.0,2785787700.0,2894819537.0,3015005401.0,3132819477.0
4,Americas (other),70950783125.0,73065649503.0,75233665397.0,77460245651.0,79617865087.0,81871783973.0
5,Andorra,7635776.0,8181712.0,8720320.0,9258928.0,9775552.0,10292176.0
6,Angola,259107043.0,281209450.0,306185554.0,331671559.0,359237062.0,388101534.0
7,Anguilla,1282400.0,1425296.0,1575520.0,1725744.0,1872304.0,2022528.0
8,Antarctic Fisheries,135568.0,142896.0,153888.0,153888.0,153888.0,153888.0
9,Antigua and Barbuda,15553680.0,15997024.0,16466016.0,16946000.0,17455296.0,17979248.0
10,Argentina,5684780278.0,5859397784.0,6033630695.0,6221671879.0,6400539263.0,6587225715.0
11,Armenia,210757312.0,215162562.0,220270324.0,225852438.0,230214768.0,234474944.0
12,Aruba,52559329.0,55274353.0,58095633.0,60752033.0,63379121.0,65885297.0
13,Asia and Pacific (other),122000000000.0,126000000000.0,131000000000.0,135000000000.0,139000000000.0,144000000000.0
14,Australia,12514760314.0,12907442187.0,13307857916.0,13712906454.0,14121579085.0,14528331858.0
15,Austria,4465240838.0,4541929302.0,4615961420.0,4689767691.0,4757250750.0,4829633894.0
16,Azerbaijan,2044246014.0,2083354554.0,2113812824.0,2149263424.0,2181120054.0,2211752942.0
17,Bahamas,132622736.0,134286192.0,135975296.0,137470208.0,139111680.0,140764144.0
18,Bahrain,475520663.0,494277583.0,521047635.0,550730082.0,578827612.0,607902442.0
19,Bangladesh,592678928.0,635634625.0,679401066.0,727708679.0,780001288.0,838283137.0
20,Barbados,34616604.0,35955896.0,37290266.0,38879272.0,40468581.0,41921213.0
21,Belarus,3301306104.0,3366167714.0,3430431637.0,3496821696.0,3558759528.0,3622621918.0
22,Belgium,10966518514.0,11090549403.0,11211160804.0,11331819814.0,11439462181.0,11553044213.0
23,Belize,10966352.0,11409696.0,11886016.0,12322032.0,12908272.0,13446880.0
24,Benin,34221541.0,37932883.0,42252514.0,46507328.0,51015261.0,55954206.0
25,Bermuda,20254592.0,20906784.0,21635920.0,22284448.0,22760768.0,23368992.0
26,Bhutan,5321940.0,5694946.0,6066973.0,6467797.0,6835598.0,7299755.0
27,Bolivia,258096381.0,273017224.0,285194073.0,298234712.0,311981298.0,326922681.0
28,Bonaire Sint Eustatius and Saba,18155959.0,18421603.0,18720658.0,19008304.0,19302632.0,19505369.0
29,Bosnia and Herzegovina,575739027.0,593125746.0,610600078.0,630558726.0,651095820.0,672241461.0
30,Botswana,67703392.0,71836384.0,76064640.0,80567696.0,84326960.0,88980546.0
31,Brazil,8975096312.0,9317042680.0,9673961432.0,10054306360.0,10414397136.0,10825637328.0
32,British Virgin Islands,2348624.0,2491520.0,2641744.0,2802960.0,2967840.0,3140048.0
33,Brunei,231986160.0,236723712.0,245033664.0,254025120.0,261770816.0,269831616.0
34,Bulgaria,3116744801.0,3168570371.0,3224207405.0,3278180198.0,3323887343.0,3371680146.0
35,Burkina Faso,22024292.0,23380526.0,25022393.0,26885164.0,28751993.0,30645934.0
36,Burundi,7026086.0,7212950.0,7399814.0,7590342.0,7780870.0,7993382.0
37,Cambodia,40696245.0,43693397.0,47145866.0,50950853.0,55491550.0,60408478.0
38,Cameroon,119063344.0,122815790.0,128517728.0,133944007.0,140538914.0,147200941.0
39,Canada,25120209594.0,25690697237.0,26284837478.0,26859643349.0,27400162036.0,27955621729.0
40,Cape Verde,5304631.0,5777287.0,6282919.0,6751911.0,7275863.0,7832791.0
41,Cayman Islands,9112368.0,9596016.0,10167600.0,10750176.0,11307104.0,11864032.0
42,Central African Republic,8082784.0,8331936.0,8584752.0,8837568.0,9090384.0,9354192.0
43,Chad,7331664.0,7738368.0,8200032.0,8709328.0,9200304.0,9716928.0
44,Chile,1742419246.0,1806390824.0,1877097754.0,1947916432.0,2013836290.0,2085166076.0
45,China,95363763560.0,102000000000.0,109000000000.0,116000000000.0,124000000000.0,132000000000.0
46,Christmas Island,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0
47,Colombia,2190762489.0,2252959841.0,2314531348.0,2381757865.0,2453609479.0,2528909899.0
48,Comoros,2410912.0,2572128.0,2674720.0,2780976.0,2912880.0,3074096.0
49,Congo,41957561.0,43064195.0,44265538.0,45561883.0,47293460.0,49262904.0
50,Cook Islands,1190800.0,1256752.0,1322704.0,1392320.0,1461936.0,1531552.0
51,Costa Rica,138175406.0,145140687.0,153032352.0,160942812.0,168622068.0,176050078.0
52,Cote d'Ivoire,204601424.0,211412800.0,217949376.0,224540912.0,230055232.0,236119152.0
53,Croatia,736056106.0,759781745.0,784837970.0,808623267.0,830618773.0,851863857.0
54,Cuba,1254955740.0,1282183908.0,1308781347.0,1339027394.0,1368732563.0,1406904738.0
55,Curacao,349448805.0,354561686.0,360317598.0,365853938.0,371518885.0,375420985.0
56,Cyprus,179289128.0,187449973.0,195922586.0,204556779.0,212939378.0,220957255.0
57,Czech Republic,6955716250.0,7082096541.0,7210277275.0,7333211143.0,7448466426.0,7565961978.0
58,Czechoslovakia,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0,11241448784.0
59,Democratic Republic of Congo,155671371.0,157224661.0,158920878.0,160731713.0,162426996.0,164390334.0
60,Denmark,3457703449.0,3517142328.0,3571799435.0,3623010033.0,3671833527.0,3721125802.0
61,Djibouti,12215776.0,12626144.0,13087808.0,13586112.0,14047776.0,14564400.0
62,Dominica,2290000.0,2403584.0,2557472.0,2689376.0,2821280.0,2960512.0
63,Dominican Republic,416501624.0,435922026.0,456678458.0,476947475.0,496761133.0,517335562.0
64,EU-28,307000000000.0,311000000000.0,316000000000.0,320000000000.0,324000000000.0,328000000000.0
65,Ecuador,656645750.0,685170351.0,716664332.0,749989326.0,785492543.0,821376640.0
66,Egypt,3143689945.0,3319709463.0,3505614652.0,3700900028.0,3903609734.0,4102417397.0
67,El Salvador,135041730.0,141762293.0,148608161.0,155016809.0,161329459.0,167646504.0
68,Equatorial Guinea,28066240.0,32818448.0,37610960.0,42110352.0,46726992.0,51402256.0
69,Eritrea,9005122.0,9561048.0,10135057.0,10544073.0,11052038.0,11560026.0
70,Estonia,930926365.0,947365554.0,967437201.0,985309852.0,999918919.0,1018933777.0
71,Ethiopia,101432025.0,106748966.0,112577321.0,118942386.0,125375432.0,131771166.0
72,Europe (other),131000000000.0,133000000000.0,136000000000.0,138000000000.0,140000000000.0,142000000000.0
73,Faeroe Islands,20958080.0,21635920.0,22324752.0,22954960.0,23530208.0,24160416.0
74,Falkland Islands,4275888.0,4334512.0,4393136.0,4451760.0,4510384.0,4565344.0
75,Fiji,31716888.0,32918261.0,34059400.0,34937158.0,35715718.0,36916963.0
76,Finland,2406388373.0,2474768192.0,2541523854.0,2600132670.0,2655950897.0,2719942650.0
77,France,33222136998.0,33644238253.0,34057136609.0,34463927432.0,34850869522.0,35248769990.0
78,French Guiana,15945728.0,16418384.0,16982640.0,17539568.0,18129472.0,18767008.0
79,French Polynesia,17019280.0,17843680.0,18660752.0,19503472.0,20349856.0,21207232.0
80,Gabon,187591548.0,191733966.0,195823304.0,199967022.0,204185294.0,208967600.0
81,Gambia,6653824.0,6961600.0,7313344.0,7679744.0,8060800.0,8493152.0
82,Georgia,500463704.0,506559833.0,512924609.0,518034989.0,524169917.0,530378989.0
83,Germany,80706234376.0,81584981507.0,82437077670.0,83291498632.0,84081462154.0,84915147072.0
84,Ghana,175635265.0,184795295.0,194414596.0,203340477.0,210838252.0,220548991.0
85,Gibraltar,7265712.0,7683408.0,8097440.0,8522464.0,8984128.0,9449456.0
86,Greece,2775986085.0,2888450995.0,3003033628.0,3114146156.0,3218486690.0,3315829666.0
87,Greenland,23097856.0,23724400.0,24361936.0,25021456.0,25596704.0,26259888.0
88,Grenada,4224592.0,4455424.0,4693584.0,4946400.0,5199216.0,5459360.0
89,Guadeloupe,44616528.0,46770960.0,49101264.0,51387600.0,53695920.0,55993248.0
90,Guatemala,229406829.0,241823961.0,254195688.0,265363602.0,277051106.0,288412585.0
91,Guinea,48588361.0,50478985.0,52446553.0,54590492.0,56817049.0,59391969.0
92,Guinea-Bissau,6155520.0,6371696.0,6602528.0,6829696.0,7064192.0,7302352.0
93,Guyana,68106432.0,69396160.0,70957024.0,72514224.0,74078752.0,75797168.0
94,Haiti,39303322.0,41387467.0,43748472.0,46114247.0,48351202.0,50444633.0
95,Honduras,123201319.0,130050030.0,138648384.0,147133085.0,154814089.0,162614795.0
96,Hong Kong,990583053.0,1032496770.0,1076069187.0,1119845539.0,1161828338.0,1202302433.0
97,Hungary,4261852209.0,4321691641.0,4380213949.0,4437652116.0,4489433167.0,4541553704.0
98,Iceland,99279872.0,102426914.0,105920861.0,109715811.0,113446894.0,117067825.0
99,India,25785358272.0,27072507483.0,28462760974.0,30010752013.0,31730872573.0,33430899968.0
100,Indonesia,6821620547.0,7168320267.0,7545442891.0,7963234939.0,8410536027.0,8838325547.0
101,Iran,9549322291.0,10053112844.0,10566426677.0,11101336781.0,11648221753.0,12212256261.0
102,Iraq,2356708165.0,2454889215.0,2516380971.0,2608548021.0,2712037114.0,2823022461.0
103,Ireland,1618227142.0,1665777337.0,1713400283.0,1760700388.0,1802808896.0,1844488413.0
104,Israel,1425417943.0,1487567025.0,1550366932.0,1618347208.0,1682208154.0,1750495055.0
105,Italy,18788332381.0,19278082351.0,19758573936.0,20226635996.0,20642568389.0,21067441551.0
106,Jamaica,324254376.0,335677795.0,345294850.0,355433285.0,363187537.0,370447136.0
107,Japan,47366124205.0,48628763657.0,49928815630.0,51158061080.0,52318264713.0,53529837581.0
108,Jordan,349488014.0,370015456.0,391452444.0,412170359.0,433506619.0,454120964.0
109,Kazakhstan,9432673302.0,9635643224.0,9848859622.0,10062240023.0,10271586716.0,10508548791.0
110,Kenya,260691342.0,270027893.0,279568319.0,289480031.0,301444111.0,313190076.0
111,Kiribati,1176144.0,1245760.0,1297056.0,1352016.0,1392320.0,1454608.0
112,Kuwait,1524810370.0,1598199461.0,1673074239.0,1755372503.0,1842327430.0,1931599655.0
113,Kyrgysztan,0.0,0.0,0.0,0.0,0.0,0.0
114,Kyrgyzstan,82351073.0,87770042.0,94288317.0,101836588.0,108573965.0,114886823.0
115,Laos,18512120.0,20019146.0,20882770.0,21781876.0,22921991.0,24420015.0
116,Latvia,525264893.0,533598200.0,542253265.0,550471989.0,557952693.0,566599649.0
117,Lebanon,398589355.0,413381387.0,427134202.0,444560260.0,465530770.0,485545942.0
118,Lesotho,28293408.0,30330592.0,32404416.0,34529536.0,36746256.0,39021600.0
119,Liberia,37990241.0,38721369.0,39371055.0,39924444.0,40432743.0,41215880.0
120,Libya,1315025067.0,1367691385.0,1417031130.0,1472372605.0,1529568214.0,1590689859.0
121,Liechtenstein,0.0,0.0,200764.0,420268.0,625620.0,816426.0
122,Lithuania,849848985.0,864251943.0,880015212.0,895095057.0,907923062.0,921635694.0
123,Luxembourg,599749914.0,611629171.0,622898005.0,634030265.0,644618718.0,655773007.0
124,Macao,34408624.0,36028112.0,37563328.0,38900688.0,40970848.0,42377824.0
125,Macedonia,459418869.0,470348581.0,479834677.0,489229173.0,497920181.0,506515925.0
126,Madagascar,54225322.0,55891547.0,57674990.0,59543559.0,61297455.0,63235798.0
127,Malawi,29620426.0,30512546.0,31378804.0,32407285.0,33325959.0,34447579.0
128,Malaysia,2561145555.0,2726726109.0,2909181850.0,3110762165.0,3307206260.0,3523198564.0
129,Maldives,6617184.0,7375632.0,8156064.0,8998784.0,9881808.0,10816128.0
130,Mali,19205380.0,20147028.0,21154628.0,22224516.0,23030596.0,23994228.0
131,Malta,69002273.0,71681716.0,74437761.0,77261505.0,79845824.0,82436041.0
132,Marshall Islands,1014928.0,1106528.0,1205456.0,1304384.0,1406976.0,1509568.0
133,Martinique,51274016.0,53399136.0,55330064.0,57202368.0,59228560.0,61236432.0
134,Mauritania,38123920.0,39545552.0,41183360.0,42956736.0,44916976.0,46877216.0
135,Mauritius,54938016.0,58565376.0,62251360.0,66017952.0,69725920.0,73639072.0
136,Mexico,13137757657.0,13616561294.0,14098886754.0,14594191769.0,15072580769.0,15538671421.0
137,Micronesia (country),1692768.0,1813680.0,1952912.0,2070160.0,2231376.0,2344960.0
138,Middle East,33882410934.0,35687146925.0,37489084913.0,39428477552.0,41444882020.0,43547146140.0
139,Moldova,116330337.0,121360084.0,126338638.0,131529018.0,136068530.0,140899435.0
140,Mongolia,289908645.0,299314397.0,311393141.0,323409825.0,336483839.0,350303789.0
141,Montenegro,80840692.0,83222292.0,85471988.0,88219988.0,90044660.0,92624116.0
142,Montserrat,967296.0,1003936.0,1044240.0,1091872.0,1139504.0,1205456.0
143,Morocco,906262215.0,953653011.0,1003883432.0,1056744456.0,1109334804.0,1165534788.0
144,Mozambique,104434654.0,106349455.0,108536593.0,110716515.0,113156434.0,115790329.0
145,Myanmar,319523948.0,332300716.0,345095780.0,354810930.0,364955446.0,377398075.0
146,Namibia,25329232.0,27659536.0,30019152.0,33342400.0,36409168.0,39505248.0
147,Nauru,4129328.0,4173296.0,4217264.0,4261232.0,4301536.0,4345504.0
148,Nepal,48238115.0,50767514.0,53345743.0,56730028.0,60921083.0,65815088.0
149,Netherlands,9284463451.0,9457200153.0,9629800614.0,9805319833.0,9975500246.0,10157679881.0
150,New Caledonia,87561945.0,90267938.0,93195948.0,96044939.0,99000148.0,102520705.0
151,New Zealand,1350089994.0,1387610074.0,1424252121.0,1461907852.0,1496714551.0,1531725250.0
152,Nicaragua,104085761.0,108499923.0,113050358.0,117415614.0,121853133.0,126322122.0
153,Niger,25727276.0,26413552.0,27130457.0,27933513.0,28895814.0,30064979.0
154,Nigeria,2225679106.0,2324140740.0,2418596745.0,2513529935.0,2589070654.0,2679386011.0
155,Niue,179536.0,183200.0,186864.0,194192.0,197856.0,201520.0
156,North Korea,4298883957.0,4375056808.0,4438536025.0,4508864151.0,4578737952.0,4644425175.0
157,Norway,2050225589.0,2094148937.0,2140000827.0,2184903849.0,2228109253.0,2273932530.0
158,Oman,433453509.0,472499886.0,515631210.0,557741912.0,598256519.0,645006604.0
159,Pakistan,2393280653.0,2537007353.0,2692851519.0,2848207764.0,3003426812.0,3161191553.0
160,Palau,7837296.0,8101104.0,8361248.0,8614064.0,8859552.0,9112368.0
161,Palestine,20613664.0,22878016.0,25200992.0,27252832.0,29341312.0,31374832.0
162,Panama,162457769.0,169725904.0,176815954.0,183997651.0,192417005.0,201416441.0
163,Papua New Guinea,83443936.0,87749136.0,93864352.0,98656864.0,103746160.0,108482542.0
164,Paraguay,89483192.0,93420327.0,97503087.0,101875933.0,106373086.0,111399091.0
165,Peru,1219563714.0,1253974615.0,1296375853.0,1336708050.0,1387552517.0,1444230405.0
166,Philippines,1854558964.0,1921080878.0,1991844953.0,2069144944.0,2144912016.0,2227844946.0
167,Poland,22963273096.0,23297895918.0,23632261611.0,23959709823.0,24273854403.0,24605985114.0
168,Portugal,1824821054.0,1889591231.0,1951861359.0,2011784885.0,2068862008.0,2121743807.0
169,Qatar,814754072.0,877950240.0,940849667.0,1005106764.0,1073703655.0,1145623567.0
170,Reunion,53857136.0,57477168.0,61335360.0,65277824.0,69377840.0,73543808.0
171,Romania,7272481847.0,7376612407.0,7485172100.0,7590537497.0,7677742920.0,7761294178.0
172,Russia,80578538733.0,82227197467.0,83874926408.0,85554720858.0,87127159867.0,88784720546.0
173,Rwanda,16532680.0,17049410.0,17594897.0,18125466.0,18689892.0,19269022.0
174,Saint Helena,212512.0,223504.0,234496.0,245488.0,256480.0,267472.0
175,Saint Kitts and Nevis,2945856.0,3147376.0,3363552.0,3579728.0,3803232.0,4023072.0
176,Saint Lucia,7185104.0,7551504.0,7936224.0,8331936.0,8716656.0,9119696.0
177,Saint Pierre and Miquelon,2729680.0,2795632.0,2861584.0,2927536.0,2993488.0,3063104.0
178,Saint Vincent and the Grenadines,3491792.0,3711632.0,3938800.0,4165968.0,4477408.0,4697248.0
179,Samoa,4092688.0,4257568.0,4429776.0,4609312.0,4796176.0,4983040.0
180,Sao Tome and Principe,1718416.0,1802688.0,1886960.0,1971232.0,2062832.0,2161760.0
181,Saudi Arabia,7518418750.0,7949710718.0,8336217865.0,8768554275.0,9234398584.0,9752114531.0
182,Senegal,120926128.0,125347890.0,130174535.0,134913569.0,139117297.0,146397370.0
183,Serbia,1828233940.0,1881993525.0,1934179367.0,1985969107.0,2031895107.0,2077591467.0
184,Seychelles,8419872.0,9152672.0,9793872.0,10486368.0,11010320.0,11453664.0
185,Sierra Leone,25523424.0,26138976.0,26655600.0,27190544.0,27725488.0,28300736.0
186,Singapore,1356511179.0,1387285115.0,1407195291.0,1443300347.0,1499187339.0,1554784875.0
187,Sint Maarten (Dutch part),40583908.0,41177702.0,41846176.0,42489149.0,43147059.0,43600237.0
188,Slovakia,2282245173.0,2324848892.0,2365797961.0,2407282551.0,2444921977.0,2483548496.0
189,Slovenia,567510820.0,584634826.0,601894787.0,620092178.0,636402188.0,652754816.0
190,Solomon Islands,4763200.0,4928080.0,5107616.0,5294480.0,5488672.0,5686528.0
191,Somalia,23620135.0,24213703.0,24821927.0,25422823.0,26020055.0,26631943.0
192,South Africa,14135579092.0,14581287756.0,15045262756.0,15539389912.0,16040766850.0,16513249430.0
193,South Korea,9097268389.0,9562874298.0,10056227516.0,10562010071.0,11068774611.0,11634735536.0
194,South Sudan,17142940.0,18143212.0,19319356.0,20561147.0,21856981.0,23184265.0
195,Spain,10604177295.0,10964456534.0,11332590137.0,11669080256.0,11966328397.0,12250205887.0
196,Sri Lanka,244480318.0,256273974.0,268425285.0,280413101.0,293356585.0,306406886.0
197,Sudan,213662496.0,225665760.0,239779488.0,254680976.0,270230992.0,286158400.0
198,Suriname,80393536.0,82132592.0,83889462.0,85825169.0,87820517.0,90215872.0
199,Swaziland,21672560.0,22687488.0,23750048.0,24845584.0,25889824.0,26926736.0
200,Sweden,4290609298.0,4344282049.0,4397098526.0,4447821622.0,4494974861.0,4547902135.0
201,Switzerland,2413116145.0,2458481773.0,2501841600.0,2546548288.0,2590076356.0,2635121458.0
202,Syria,1203981165.0,1256821551.0,1322540031.0,1389417427.0,1450979644.0,1511696046.0
203,Taiwan,4899642287.0,5164449755.0,5439986357.0,5699348306.0,5945804488.0,6213679908.0
204,Tajikistan,243312326.0,245946465.0,249150758.0,252036071.0,254470762.0,256988525.0
205,Tanzania,94089739.0,99968732.0,105679021.0,111616430.0,117310356.0,124150963.0
206,Thailand,3565837997.0,3814457992.0,4063624102.0,4313215121.0,4577965420.0,4857393934.0
207,Timor,674176.0,853712.0,1036912.0,1238432.0,1465600.0,1700096.0
208,Togo,35153262.0,36653768.0,38170520.0,39693298.0,42434136.0,45033498.0
209,Tonga,2502512.0,2630752.0,2744336.0,2865248.0,2997152.0,3114400.0
210,Trinidad and Tobago,918970774.0,961531423.0,1006880624.0,1051133031.0,1095901990.0,1143714324.0
211,Tunisia,497949443.0,520551936.0,544236285.0,568569703.0,592891310.0,619993841.0
212,Turkey,5426588688.0,5708130407.0,6020992905.0,6331389600.0,6648160632.0,6967689032.0
213,Turkmenistan,1428201904.0,1477574053.0,1533464184.0,1590129918.0,1640300666.0,1697409557.0
214,Turks and Caicos Islands,1018592.0,1161488.0,1326368.0,1505904.0,1685440.0,1875968.0
215,Tuvalu,131904.0,139232.0,150224.0,161216.0,172208.0,179536.0
216,Uganda,45470684.0,47939304.0,50754620.0,53806877.0,57053556.0,60818712.0
217,Ukraine,22396313137.0,22729077849.0,23065678945.0,23391411721.0,23668581623.0,23962100434.0
218,United Arab Emirates,2015674509.0,2137558304.0,2270895296.0,2425050706.0,2590235842.0,2748400504.0
219,United Kingdom,71312588008.0,71880240253.0,72439562234.0,72984410472.0,73479015204.0,73991229457.0
220,United States,332000000000.0,338000000000.0,344000000000.0,350000000000.0,356000000000.0,361000000000.0
221,Uruguay,267435921.0,274032007.0,279978518.0,288179183.0,296126516.0,302423228.0
222,Uzbekistan,4718822658.0,4838521020.0,4957938290.0,5081273920.0,5187807822.0,5291389310.0
223,Vanuatu,2806624.0,2854256.0,2953184.0,3048448.0,3169360.0,3290272.0
224,Venezuela,5454171610.0,5622714825.0,5782703743.0,5960916552.0,6139761658.0,6327940990.0
225,Vietnam,1282493038.0,1381627071.0,1482204313.0,1595445128.0,1718281657.0,1854394747.0
226,Wallis and Futuna Islands,120912.0,150224.0,179536.0,201520.0,230832.0,260144.0
227,World,1170000000000.0,1200000000000.0,1230000000000.0,1260000000000.0,1290000000000.0,1330000000000.0
228,Yemen,364724273.0,385809327.0,406528343.0,428553318.0,452800876.0,475952740.0
229,Zambia,148187062.0,150418746.0,152286353.0,154391909.0,156798190.0,159360768.0
230,Zimbabwe,589174567.0,599539437.0,609373451.0,617092326.0,622611834.0,630292845.0
